Category,FullName,ShortName,OrgInfo,ObjectAddress,ChiefName,ChiefPosition,ChiefGender,ChiefPhone,PublicPhone,Fax,Email,CloseFlag,CloseReason,CloseDate,ReopenDate,BedSpace,PaidServiceInfo,WorkingHours,ClarificationWorkingHours,Specialization,BeneficialDrugPrescription,DrugStore,AmbulanceStation,global_id,AmbulanceStationPhone,DoctorsSpecialtiesListForSelfRecording,DoctorsSpecialtiesList,Extrainfo,AgeRestriction,DrugStoreType,geodata_center,geoarea
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 67 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 67 филиал № 2 ДЗМ,More then 1 level,More then 1 level,Токарева Татьяна Васильевна,исполняющий обязанности заведующего филиалом,женский,"ChiefPhone:(499) 638-36-67

","PublicPhone:(499) 638-36-67

","Fax:(499) 638-36-67

","Email:gp67@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-18:00

DayWeek:воскресенье
WorkHours:09:00-16:00

",,Амбулаторно-поликлиническая помощь,на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне,да,нет,656106134,"AmbulancePhone:(495) 384-64-62

","[Врач общей практики, Врач-терапевт, Врач-терапевт участковый, Врач-уролог, Врач-хирург, Врач-офтальмолог, Врач-оториноларинголог]","[Врач-аллерголог-иммунолог, Врач-гастроэнтеролог, Врач-инфекционист, Врач-невролог, Врач-онколог, Врач-оториноларинголог, Врач-офтальмолог, Врач-пульмонолог, Врач-ревматолог, Врач-терапевт участковый, Врач-кардиолог, Врач-эндокринолог, Врач-хирург, Врач-колопроктолог, Врач-уролог, Врач-травматолог-ортопед]",,взрослое,,"{""coordinates"":[37.653086720526,55.724858139317],""type"":""Point""}",
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 22 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 22 ДЗМ,More then 1 level,More then 1 level,Вершинина Лилия Геннадьевна,главный врач,женский,"ChiefPhone:(495) 718-80-11

","PublicPhone:(495) 718-95-10

PublicPhone:(495) 779-66-09

","Fax:(495) 718-80-11

","Email:gp22@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-18:00

DayWeek:воскресенье
WorkHours:09:00-16:00

",,Амбулаторно-поликлиническая помощь,на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне,да,нет,656106135,"AmbulancePhone:(495) 659-22-22

AmbulancePhone:(495) 712-76-39

","[Врач-хирург, Врач-офтальмолог, Врач-оториноларинголог, Врач общей практики, Врач-терапевт, Врач-терапевт участковый, Врач-уролог]","[Врач-аллерголог-иммунолог, Врач-гастроэнтеролог, Врач-инфекционист, Врач-невролог, Врач-онколог, Врач-оториноларинголог, Врач-офтальмолог, Врач-пульмонолог, Врач-ревматолог, Врач-терапевт участковый, Врач-кардиолог, Врач-эндокринолог, Врач-хирург, Врач-колопроктолог, Врач-уролог, Врач-травматолог-ортопед]",,взрослое,,"{""coordinates"":[37.576578120136,55.681798755691],""type"":""Point""}",
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 220 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 220 филиал № 2 ДЗМ,More then 1 level,More then 1 level,Юрасова Анна Геннадьевна,заведующий филиалом,женский,"ChiefPhone:(499) 256-61-39

","PublicPhone:(499) 256-22-93

","Fax:(499) 256-61-39

","Email:gp220@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-18:00

DayWeek:воскресенье
WorkHours:09:00-16:00

",,Амбулаторно-поликлиническая помощь,на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне,да,нет,656106136,"AmbulancePhone:(495) 915-65-70

AmbulancePhone:(495) 915-72-12

","[Врач-акушер-гинеколог, Врач общей практики, Врач-терапевт, Врач-терапевт участковый, Врач-уролог, Врач-хирург, Врач-офтальмолог, Врач-оториноларинголог]","[Врач-аллерголог-иммунолог, Врач-гастроэнтеролог, Врач-инфекционист, Врач-невролог, Врач-онколог, Врач-оториноларинголог, Врач-офтальмолог, Врач-пульмонолог, Врач-ревматолог, Врач-терапевт участковый, Врач-кардиолог, Врач-эндокринолог, Врач-хирург, Врач-колопроктолог, Врач-уролог, Врач-травматолог-ортопед]","Проезд: м. «Улица 1905 года», трол. 54 до ост. «Мелькомбинат».",взрослое,,"{""coordinates"":[37.521444351884,55.752939375141],""type"":""Point""}",
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностическая поликлиника № 121 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ КДП № 121 филиал № 1 ДЗМ,More then 1 level,More then 1 level,Ли Вераника Владимировна,заведующий филиалом,женский,"ChiefPhone:(495) 256-89-09

","PublicPhone:(495) 256-89-09

","Fax:(495) 256-89-09

","Email:kdp121@zdrav.mos.ru

",действует,,,,,оказывают,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-18:00

DayWeek:воскресенье
WorkHours:09:00-16:00

",,Амбулаторно-поликлиническая помощь,на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне,да,нет,656106138,"AmbulancePhone:(495) 256-89-09

","[Врач общей практики, Врач-терапевт, Врач-терапевт участковый, Врач-уролог, Врач-хирург, Врач-офтальмолог, Врач-оториноларинголог]","[Врач-аллерголог-иммунолог, Врач-гастроэнтеролог, Врач-инфекционист, Врач-невролог, Врач-онколог, Врач-оториноларинголог, Врач-офтальмолог, Врач-пульмонолог, Врач-ревматолог, Врач-терапевт участковый, Врач-кардиолог, Врач-эндокринолог, Врач-хирург, Врач-колопроктолог, Врач-уролог, Врач-травматолог-ортопед]",,,,,
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 12 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 12 ДЗМ,More then 1 level,More then 1 level,Курняева Марина Витальевна,главный врач,женский,"ChiefPhone:(495) 619-29-25

","PublicPhone:(495) 989-40-47

","Fax:(495) 619-10-91

","Email:gp12@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-18:00

DayWeek:воскресенье
WorkHours:09:00-16:00

",,Амбулаторно-поликлиническая помощь,на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне,да,нет,656106161,,"[Врач-хирург, Врач-офтальмолог, Врач-оториноларинголог, Врач общей практики, Врач-терапевт, Врач-терапевт участковый, Врач-уролог]","[Врач-аллерголог-иммунолог, Врач-гастроэнтеролог, Врач-инфекционист, Врач-невролог, Врач-онколог, Врач-оториноларинголог, Врач-офтальмолог, Врач-пульмонолог, Врач-ревматолог, Врач-терапевт участковый, Врач-кардиолог, Врач-эндокринолог, Врач-хирург, Врач-колопроктолог, Врач-уролог, Врач-травматолог-ортопед]","Проезд от м. Владыкино авт. № 76, 85, 24; м.ВДНХ, тролл. №9, 36, 37, 73.",,,"{""coordinates"":[37.595238226817,55.829696682747],""type"":""Point""}",
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 19 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 19 филиал № 3 ДЗМ,More then 1 level,More then 1 level,Кузнецова Галина Александровна,заведующий филиалом,женский,"ChiefPhone:(495) 352-08-33

","PublicPhone:(495) 123-33-58

","Fax:(495) 358-33-81

","Email:gp19@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-18:00

DayWeek:воскресенье
WorkHours:09:00-16:00

",,Амбулаторно-поликлиническая помощь,на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне,да,нет,656106230,"AmbulancePhone:103

","[Врач-хирург, Врач-офтальмолог, Врач-оториноларинголог, Врач общей практики, Врач-терапевт, Врач-терапевт участковый, Врач-уролог]","[Врач-аллерголог-иммунолог, Врач-гастроэнтеролог, Врач-инфекционист, Врач-невролог, Врач-онколог, Врач-оториноларинголог, Врач-офтальмолог, Врач-пульмонолог, Врач-ревматолог, Врач-терапевт участковый, Врач-кардиолог, Врач-эндокринолог, Врач-хирург, Врач-колопроктолог, Врач-уролог, Врач-травматолог-ортопед]",,,,"{""coordinates"":[37.771718471665,55.67677814275],""type"":""Point""}",
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени В.П. Демихова Департамента здравоохранения города Москвы» филиал Амбулаторно-поликлинический центр,ГБУЗ ГКБ им. В.П. Демихова ДЗМ филиал АПЦ,More then 1 level,More then 1 level,Коломаченко Александр Михайлович,заместитель главного врача,мужской,"ChiefPhone:(499) 178-63-80

","PublicPhone:(499) 178-91-42

PublicPhone:(499) 178-75-03

","Fax:(499) 178-63-80

","Email:gkb68@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-18:00

DayWeek:воскресенье
WorkHours:09:00-16:00

",,Амбулаторно-поликлиническая помощь,на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне,да,да,656106231,"AmbulancePhone:(495) 698-91-20

","[Врач-акушер-гинеколог, Врач общей практики, Врач-терапевт, Врач-терапевт участковый, Врач-уролог, Врач-хирург, Врач-офтальмолог, Врач-оториноларинголог]","[Врач-аллерголог-иммунолог, Врач-гастроэнтеролог, Врач-инфекционист, Врач-невролог, Врач-онколог, Врач-оториноларинголог, Врач-офтальмолог, Врач-пульмонолог, Врач-ревматолог, Врач-терапевт участковый, Врач-кардиолог, Врач-эндокринолог, Врач-хирург, Врач-колопроктолог, Врач-уролог, Врач-травматолог-ортопед]",,,,,
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Троицкая городская больница Департамента здравоохранения города Москвы». Амбулатория «Первомайское» (Взрослое поликлиническое отделение),ГБУЗ ТГБ ДЗМ. Амбулатория «Первомайское» (Взрослое поликлиническое отделение),More then 1 level,More then 1 level,Букин Антон Александрович,заведующий отделением,мужской,"ChiefPhone:(499) 272-75-65

","PublicPhone:(499) 272-75-33

","Fax:(499) 272-75-65

","Email:tgb@zdrav.mos.ru

",действует,,,,,,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:08:00-14:00

DayWeek:воскресенье
WorkHours:выходной

",,,,нет,нет,656106240,"AmbulancePhone:(495) 841-85-03

","[Врач-акушер-гинеколог, Врач-терапевт, Врач-терапевт участковый, Врач-хирург, Врач-офтальмолог, Врач-оториноларинголог]","[Врач-аллерголог-иммунолог, Врач-гастроэнтеролог, Врач-инфекционист, Врач-невролог, Врач-онколог, Врач-оториноларинголог, Врач-офтальмолог, Врач-пульмонолог, Врач-ревматолог, Врач-терапевт участковый, Врач-кардиолог, Врач-эндокринолог, Врач-хирург, Врач-колопроктолог, Врач-уролог, Врач-травматолог-ортопед]",,,,,
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностическая поликлиника № 121 филиал № 5 Департамента здравоохранения города Москвы»,ГБУЗ КДП № 121 филиал № 5 ДЗМ,More then 1 level,More then 1 level,Когинова Наталья Владимировна,заведующий филиалом,женский,"ChiefPhone:(495) 256-89-09

","PublicPhone:(495) 256-89-09

","Fax:(495) 256-89-09

","Email:kdp121@zdrav.mos.ru

",действует,,,,,оказывают,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-18:00

DayWeek:воскресенье
WorkHours:09:00-16:00

",,Амбулаторно-поликлиническая помощь,на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне,нет,нет,656106241,"AmbulancePhone:(495) 256-89-09

","[Врач общей практики, Врач-терапевт, Врач-терапевт участковый, Врач-уролог, Врач-хирург, Врач-офтальмолог, Врач-оториноларинголог]","[Врач-аллерголог-иммунолог, Врач-гастроэнтеролог, Врач-инфекционист, Врач-невролог, Врач-онколог, Врач-оториноларинголог, Врач-офтальмолог, Врач-пульмонолог, Врач-ревматолог, Врач-терапевт участковый, Врач-кардиолог, Врач-эндокринолог, Врач-хирург, Врач-колопроктолог, Врач-уролог, Врач-травматолог-ортопед]",,взрослое,,,
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 9 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 9 филиал № 2 ДЗМ,More then 1 level,More then 1 level,Белкин Станислав Александрович,заведующий филиалом,мужской,"ChiefPhone:(499) 172-19-50

","PublicPhone:(499) 550-10-95

","Fax:(499) 172-19-50

","Email:gp9@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-18:00

DayWeek:воскресенье
WorkHours:09:00-16:00

",,Амбулаторно-поликлиническая помощь,на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне,да,нет,656106245,"AmbulancePhone:(495) 698-91-21

AmbulancePhone:(495) 698-91-20

","[Врач-хирург, Врач-офтальмолог, Врач-оториноларинголог, Врач общей практики, Врач-терапевт, Врач-терапевт участковый, Врач-уролог]","[Врач-аллерголог-иммунолог, Врач-гастроэнтеролог, Врач-инфекционист, Врач-невролог, Врач-онколог, Врач-оториноларинголог, Врач-офтальмолог, Врач-пульмонолог, Врач-ревматолог, Врач-терапевт участковый, Врач-кардиолог, Врач-эндокринолог, Врач-хирург, Врач-колопроктолог, Врач-уролог, Врач-травматолог-ортопед]",,взрослое,,,
