Category,FullName,ShortName,OrgInfo,ObjectAddress,ChiefName,ChiefPosition,ChiefGender,ChiefPhone,PublicPhone,Fax,Email,CloseFlag,CloseReason,CloseDate,ReopenDate,BedSpace,PaidServiceInfo,WorkingHours,ClarificationWorkingHours,Specialization,global_id,BeneficialDrugPrescription,DrugStore,AmbulanceStation,AmbulanceStationPhone,DoctorsSpecialtiesListForSelfRecording,Extrainfo,AgeRestriction,DrugStoreType,geodata_center,geoarea
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 150 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 150 филиал № 1 ДЗМ,More then 1 level,More then 1 level,Киданова Алина Германовна,заведующий филиалом,женский,"ChiefPhone:(495) 351-55-44

","PublicPhone:(495) 351-55-24

","Fax:(495) 351-55-44

","Email:dgp150@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",В воскресенье и праздничные дни 9:00 – 15:00 обслуживание вызовов на дому участковыми врачами-педиатрами,Амбулаторно-поликлиническая помощь,656106140,,нет,нет,"AmbulancePhone:(499) 940-40-57

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: м.«Кузьминки», «Волжская», трол. 74 до остановки «ул.Армавирская».",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 148 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 148 филиал № 4 ДЗМ,More then 1 level,More then 1 level,Попов Владимир Николаевич,заведующий филиалом,мужской,"ChiefPhone:(495) 355-63-83

","PublicPhone:(495) 355-61-47

","Fax:(495) 355-63-83

","Email:dgp148@zdrav.mos.ru

",действует,,,,,,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",Воскресенье: с 9.00 до 15.00 ч. (вызов на дом).,,656106157,,нет,да,"AmbulancePhone:(495) 698-91-20

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]",,,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 61 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 61 ДЗМ,More then 1 level,More then 1 level,Свечина Анна Вячеславовна,главный врач,женский,"ChiefPhone:(495) 679-46-03

","PublicPhone:(495) 679-09-64

","Fax:(495) 679-46-03

","Email:dgp61@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",воскресные и праздничные дни 9.00 – 14.00 (обслуживание вызовов на дому дежурными врачами-педиатрами),Амбулаторно-поликлиническая помощь,656106180,,нет,нет,"AmbulancePhone:(499) 940-40-57

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: м. «Автозаводская», авт. № 8 ост. &quot;Южный порт&quot;, авт. № 193 ост. &quot;Улица Трофимова&quot;, маршрутное такси № 611 ост. &quot;Улица Трофимова&quot;, от м. «Кожуховская», 5 минут пешком.",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 104 филиал № 1 Департамента здравоохранения города Москвы». Второе педиатрическое отделение,ГБУЗ ДГП № 104 филиал № 1 ДЗМ. Второе педиатрическое отделение,More then 1 level,More then 1 level,Дроздова Любовь Константиновна,заведующий филиалом,женский,"ChiefPhone:(495) 607-21-21

","PublicPhone:(499) 638-34-09

","Fax:(495) 607-28-40

","Email:dgp104@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",В воскресенье и праздничные дни 9:00 – 15:00 обслуживание вызовов на дому участковыми врачами-педиатрами,Амбулаторно-поликлиническая помощь,656106204,,нет,нет,"AmbulancePhone:(495) 670-95-90

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]",,детское,,"{""coordinates"":[37.647071965222,55.754492860832],""type"":""Point""}",
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 133 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 133 филиал № 3 ДЗМ,More then 1 level,More then 1 level,Афанасьева Ольга Михайловна,заведующий филиалом,женский,"ChiefPhone:(495) 451-40-14

","PublicPhone:(495) 451-03-89

","Fax:(495) 451-40-14

","Email:dgp133@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",воскресенье и праздничные дни с 9.00 до 14.00 (вызов на дом),Амбулаторно-поликлиническая помощь,656106210,,нет,да,"AmbulancePhone:(495) 451-30-12

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","М. «Речной вокзал», авт.233, трол.58 до остановки «ул.Петрозаводская», конечная.",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 11 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 11 ДЗМ,More then 1 level,More then 1 level,Менькина Наталья Михайловна,исполняющий обязанности главного врача,женский,"ChiefPhone:(495) 478-02-27

","PublicPhone:(499) 638-31-33

","Fax:(499) 478-02-27

","Email:dgp11@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",Воскресение: 09:00 - 15:00 обслуживание вызовов на дому,Амбулаторно-поликлиническая помощь,656106221,,нет,нет,"AmbulancePhone:(495) 777-49-09

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]",Проезд: в 5 мин. ходьбы от ст. м. «Медведково».,детское,,"{""coordinates"":[37.663810869781,55.88908042718],""type"":""Point""}",
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 32 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 32 филиал № 1 ДЗМ,More then 1 level,More then 1 level,Хоконова Елена Андреевна,заведующий филиалом,женский,"ChiefPhone:(499) 259-80-01

","PublicPhone:(495) 135-55-32

","Fax:(499) 259-80-01

","Email:info@dgp27.mosgorzdrav.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",Воскресение: 09:00 - 15:00 обслуживание вызовов на дому,Амбулаторно-поликлиническая помощь,656106222,,нет,да,"AmbulancePhone:103

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: ст. м. «ул. 1905 года», троллейбус №18 остановка «школа № 340», троллейбус № 54, автобус № 69 остановка &quot;9 медучилище&quot;.",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 132 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 132 ДЗМ,More then 1 level,More then 1 level,Кузнецова Елена Ивановна,главный врач,женский,"ChiefPhone:(495) 733-54-60

","PublicPhone:(495) 733-54-58

","Fax:(495) 733-54-60

","Email:dgp132@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",воскресенье и праздничные дни с 09.00 до 14.00 – помощь на дому,Амбулаторно-поликлиническая помощь,656106229,,нет,да,"AmbulancePhone:(495) 733-53-85

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: м. Юго-Западная, авт. 707 до ост. &quot;Новоорловская&quot;.",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 39 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 39 филиал № 1 ДЗМ,More then 1 level,More then 1 level,Менжинская Наталья Григорьевна,заведующий филиалом,женский,"ChiefPhone:(499) 158-34-88

","PublicPhone:(499) 158-03-41

","Fax:(499) 762-63-09

","Email:dgp39@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",Воскресенье и праздничные дни (обслуживание вызовов на дому врачами-педиатрами) с 9.00-15.00 часов,Амбулаторно-поликлиническая помощь,656106242,,нет,да,"AmbulancePhone:(499) 451-30-12

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: м. Сокол, далее пешком",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 48 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 48 филиал № 2 ДЗМ,More then 1 level,More then 1 level,Леонова Наталья Владимировна,заведующий филиалом,женский,"ChiefPhone:(499) 172-06-98

","PublicPhone:(495) 172-16-51

","Fax:(499) 172-06-98

","Email:dgp48@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",В воскресенье и праздничные дни 9:00 – 15:00 обслуживание вызовов на дому участковыми врачами-педиатрами,Амбулаторно-поликлиническая помощь,656106249,,нет,нет,"AmbulancePhone:(499) 940-40-57

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]",Проезд: м. Кузьминки,детское,,,
