"ID";"ObjectNameOnDoc";"global_id";"ObjectName";"Link";"geodata_center";"geoarea";
"7537";"Охранная (объединенная охранная) зона № 246";"19657446";"";"[]";"{""coordinates"":[37.6829129971731,55.744971702052],""type"":""Point""}";"";
"7538";"Охранная (объединенная охранная) зона";"19657447";"";"[]";"{""coordinates"":[37.691525940131,55.7323933850285],""type"":""Point""}";"";
"7539";"Охранная (объединенная охранная) зона";"19657448";"";"[]";"{""coordinates"":[37.6783533222778,55.732887038279],""type"":""Point""}";"";
"7540";"Охранная (объединенная охранная) зона";"19657449";"";"[]";"{""coordinates"":[37.5631385343507,55.720399849599],""type"":""Point""}";"";
"7541";"Охранная (объединенная охранная) зона";"19657450";"";"[]";"{""coordinates"":[37.4734141045037,55.7668006517935],""type"":""Point""}";"";
"7542";"Охранная (объединенная охранная) зона";"19657451";"";"[]";"{""coordinates"":[37.4572374172255,55.775593524397],""type"":""Point""}";"";
"7543";"Охранная (объединенная охранная) зона";"19657452";"";"[]";"{""coordinates"":[37.4432586356683,55.7812416012335],""type"":""Point""}";"";
"7544";"Охранная (объединенная охранная) зона";"19657453";"";"[]";"{""coordinates"":[37.4040772354454,55.788158291692],""type"":""Point""}";"";
"7545";"Охранная (объединенная охранная) зона";"19657454";"";"[]";"{""coordinates"":[37.4912964774337,55.7981168485665],""type"":""Point""}";"";
"7546";"Охранная (объединенная охранная) зона";"19657455";"";"[]";"{""coordinates"":[37.4568680930518,55.8015795764365],""type"":""Point""}";"";
"7547";"Охранная (объединенная охранная) зона";"19657456";"";"[]";"{""coordinates"":[37.47536269314,55.822548086652],""type"":""Point""}";"";
"7548";"Охранная (объединенная охранная) зона";"19657457";"";"[]";"{""coordinates"":[37.5917657090095,55.7324217560355],""type"":""Point""}";"";
"7549";"Охранная (объединенная охранная) зона";"19657458";"";"[]";"{""coordinates"":[37.5914841532563,55.7356741476185],""type"":""Point""}";"";
"7550";"Охранная (объединенная охранная) зона";"19657459";"";"[]";"{""coordinates"":[37.5883943805828,55.736648162644],""type"":""Point""}";"";
