X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-2745.71027686523,-4037.17533412841,0,AcDbEntity:AcDbPoint,,,60A1,
-2159.00944465521,-5090.6430119093,0,AcDbEntity:AcDbPoint,,,60A2,
-1978.37654207816,-6254.86503906967,0,AcDbEntity:AcDbPoint,,,60A3,
-1417.78979532549,-6955.16213755563,0,AcDbEntity:AcDbPoint,,,60A4,
-2927.11637406738,-8252.07953883609,0,AcDbEntity:AcDbPoint,,,60A5,
-3049.90005587251,-7710.05505014662,0,AcDbEntity:AcDbPoint,,,60A6,
-5198.61580114235,-6738.50206964638,0,AcDbEntity:AcDbPoint,,,60A7,
-4912.12054359709,-5521.50411681927,0,AcDbEntity:AcDbPoint,,,60A8,
-3909.38620384556,-4907.89168600214,0,AcDbEntity:AcDbPoint,,,60A9,
-4676.78487196768,-4601.08547059356,0,AcDbEntity:AcDbPoint,,,60AA,
-7040.37215423078,-5664.68021083577,0,AcDbEntity:AcDbPoint,,,60AB,
-4717.71276590274,-2893.19736335153,0,AcDbEntity:AcDbPoint,,,60AC,
-5096.29587863619,-3680.66661460666,0,AcDbEntity:AcDbPoint,,,60AD,
-931.880137219675,-8466.84378474148,0,AcDbEntity:AcDbPoint,,,60AE,
-2139.25357130915,-8569.11245329058,0,AcDbEntity:AcDbPoint,,,60AF,
2931.00283720467,-9106.04079287805,0,AcDbEntity:AcDbPoint,,,60B0,
1121.39073697513,-10637.414404888,0,AcDbEntity:AcDbPoint,,,60B1,
-1284.32739493827,-10612.8983512782,0,AcDbEntity:AcDbPoint,,,60B2,
-928.279152154922,-11737.1258338476,0,AcDbEntity:AcDbPoint,,,60B3,
924.790239377937,-12647.0220176919,0,AcDbEntity:AcDbPoint,,,60B4,
-2299.87424523488,-10786.789572558,0,AcDbEntity:AcDbPoint,,,60B5,
-1094.20108864619,-12704.9062586121,0,AcDbEntity:AcDbPoint,,,60B6,
-2000.50604785583,-12353.079829284,0,AcDbEntity:AcDbPoint,,,60B7,
-572.266941742448,-13408.5595367906,0,AcDbEntity:AcDbPoint,,,60B8,
548.476039998292,-13262.9760131283,0,AcDbEntity:AcDbPoint,,,60B9,
-1798.20567959017,-13481.3510888606,0,AcDbEntity:AcDbPoint,,,60BA,
-2813.75252988678,-13072.9088447749,0,AcDbEntity:AcDbPoint,,,60BB,
-2534.57822436228,-13780.6058999607,0,AcDbEntity:AcDbPoint,,,60BC,
-8984.78102318273,-6041.90996898853,0,AcDbEntity:AcDbPoint,,,60D0,
-9658.7678937302,-4307.25932544324,0,AcDbEntity:AcDbPoint,,,60D1,
-10364.2405176616,-3807.58112911906,0,AcDbEntity:AcDbPoint,,,60D2,
-11061.3384827646,-2733.30618047516,0,AcDbEntity:AcDbPoint,,,60D3,
-26891.3220898317,-56347.5075878397,0,AcDbEntity:AcDbPoint,,,60D4,
-26353.9368249489,-56119.2328217401,0,AcDbEntity:AcDbPoint,,,60D5,
-25641.9014436697,-55971.5256901858,0,AcDbEntity:AcDbPoint,,,60D6,
-25017.1912389516,-55582.1157872925,0,AcDbEntity:AcDbPoint,,,60D7,
-23613.272494844,-54937.5755047117,0,AcDbEntity:AcDbPoint,,,60D8,
-25003.7565599844,-54393.7445337929,0,AcDbEntity:AcDbPoint,,,60D9,
