Name;Adress;Description;Year;X;Y
"Парк «Яуза»";"";"";;;
"Стартовая площадка";"проезд Досфлота, вл. 2";"";;55.8401531;37.4580628
"Стартовая площадка";"Окружная улица, 2А, Светлогорский проезд, 1";"";;55.84341;37.402058
"Стартовая площадка";"ул. Свободы, д. 1, к. 4";"";;55.8243437;37.4492042
"Стартовая площадка";"Даниловская наб., вл. 8";"";;55.7096803;37.6380771
"Стартовая площадка";"Щербаковская улица, влд. 5А";"";;55.7828988;37.7254735
"Стартовая площадка";"Мироновская ул., вл. 32";"";;55.7892278;37.7331319
"Стартовая площадка";"ул. Байкальская, влд. 28";"";;55.816654;37.8030095
"Стартовая площадка";"Лосевская улица, вблизи д. 3";"";;55.8759819;37.7133356
"Стартовая площадка";"ул. Минусинская, вл. 12-14";"";;55.8734542;37.692439
"Стартовая площадка";"3-й Нижнелихоборский проезд, вл. 5";"";;55.8473595;37.5650416
"Промзона «Кунцево»";"Кунцево";"";;;
"Новая дорога между станциями метро «Нагорная» и «Нагатинская»";"Россия, Москва, Южный административный округ, Нагорный район";"В районе Нагорный на юге столицы построят дорогу, которая  обеспечит дополнительные транспортные связи внутри жилого квартала и соединит два проектируемых проезда.";;55.7540471;37.620405
"Стартовая площадка";"Новопоселковая ул., вл. 6";"";;55.8372548;37.4450797
"Стартовая площадка";"Щукинская ул., влд. 7";"";;55.8084219;37.4807791
"Стартовая площадка";"Заречная ул., вл. 5";"";;55.7535427;37.508297
"Стартовая площадка";"Кременчугская ул., вл. 11-17";"";;55.7193778;37.4616003
"Стартовая площадка";"Матросова ул., вл. 21–29";"";;55.6649727;37.4203323
"Стартовая площадка";"Молодогвардейская ул., вл. 51, вл. 53";"";;55.7334568;37.4067492
"Стартовая площадка";"Феодосийская ул., вл. 7";"";;55.562948;37.57961
"Стартовая площадка";"1-й Саратовский пр-д, вл. 5";"";;55.7116614;37.7364206
"Стартовая площадка";"Акулово пос., вл. 4";"";;55.042432;21.9836265
"Стартовая площадка";"Проходчиков ул., вл. 3";"";;55.8715818;37.716189
"Стартовая площадка";"Маломосковская ул., вл. 15а, Ярославская ул., вл. 2";"";;55.8138457;37.6467115
"Стартовая площадка";"Константинова ул., вл. 2";"";;55.8134842;37.6525658
"Стартовая площадка";"Клязьминская ул., вл. 26";"";;55.8929799;37.5308833
"Детско-взрослая поликлиника на 750 посещений в смену, ул. Уржумская, вл. 4/1, район Свиблово (уровень 1)";"Уржумская ул., вл. 4/1";"";2023;55.8522395;37.6628567
"Жилой дом";"Люблинская ул., вл. 72, корп. 6  (присв. - Люблинская ул., д. 76, корп. 4)";"";2020;55.662928;37.73156
"Жилой дом";"Люблинская ул., вл. 72, корп. 5  (присв. - Люблинская ул., д. 76, корп. 3)";"";2020;55.663669;37.731443
"Промзона «Каширское шоссе»";"";"";;;
"Промзона «Южный порт»";"";"";2024;;
"Стартовая площадка";"Спортивная ул., вблизи вл. 9";"";;55.609777;37.303009
"Стартовая площадка";"Нагатинская ул., вл. 1";"";;55.6830383;37.6245068
"Стартовая площадка";"ул. Дербеневская, вл. 22";"";;55.7190358;37.6465536
"Стартовая площадка";"Рязанский пр-т, вл. 49, корпуса 1, 2, 3, 4";"";;55.7540471;37.620405
"Стартовая площадка";"ул. Ташкентская, дом 14, корпус 1";"";;55.7037892;37.8152388
"Стартовая площадка";"ул. Игральная, вл. 1";"";;55.8147347;37.710444
"Стартовая площадка";"ул. Бочкова, вл. 11А";"";;55.8098309;37.6245833
