"ID";"Year";"global_id";"AdmArea";"District";"Address";"EstimatedindexValue";"PollutionCategory";"PollutionLevel";"geoData";
"256";"2016";"477298795";"Зеленоградский административный округ";"район Крюково";"город Москва, город Зеленоград, корпус 1606";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.15074251, 55.97680203]}";
"257";"2016";"477298796";"Зеленоградский административный округ";"район Силино";"город Москва, город Зеленоград, корпус 1140";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.17173297, 55.99401759]}";
"258";"2016";"477298797";"Зеленоградский административный округ";"район Савёлки";"город Москва, город Зеленоград, корпус 623";"1.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.22768888, 55.9904043]}";
"259";"2016";"477298798";"Зеленоградский административный округ";"район Матушкино";"город Москва, город Зеленоград, Панфиловский проспект, дом 10";"1.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.20222161, 56.0122008]}";
"260";"2016";"477298799";"Северо-Западный административный округ";"район Покровское-Стрешнево";"город Москва, Сосновая аллея, дом 1, строение 1";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.46141868, 55.81969383]}";
"261";"2016";"477533252";"Зеленоградский административный округ";"район Силино";"город Москва, город Зеленоград, корпус 1131";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.16981394, 55.99217455]}";
"262";"2016";"477533462";"Зеленоградский административный округ";"район Матушкино";"город Москва, город Зеленоград, 1-й Западный проезд, дом 12, строение 1";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.19198734, 56.01320563]}";
"263";"2016";"477533581";"Зеленоградский административный округ";"район Матушкино";"город Москва, город Зеленоград, корпус 231";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.20343468, 56.00335209]}";
"264";"2016";"477533780";"Зеленоградский административный округ";"район Савёлки";"город Москва, город Зеленоград, Сосновая аллея, дом 3";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.24740328, 55.98323214]}";
"265";"2016";"477533913";"Зеленоградский административный округ";"район Савёлки";"город Москва, город Зеленоград, Озёрная аллея, дом 6";"3.3";"допустимая";"минимальный";"{type=Point, coordinates=[37.22594455, 55.98699102]}";
"266";"2016";"477534028";"Зеленоградский административный округ";"район Крюково";"город Москва, Середниковская улица, дом 12, строение 5";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.2060347, 55.95133375]}";
"267";"2016";"477534160";"Зеленоградский административный округ";"район Крюково";"город Москва, город Зеленоград, посёлок Рожки, дом 12";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.21670945, 55.94998147]}";
"268";"2016";"477534349";"Центральный административный округ";"район Хамовники";"город Москва, Смоленский бульвар, дом 24, строение 2";"1.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.58547703, 55.74324048]}";
"269";"2016";"477536450";"Центральный административный округ";"район Арбат";"город Москва, улица Новый Арбат, дом 28";"5.9";"допустимая";"минимальный";"{type=Point, coordinates=[37.58497082, 55.75289695]}";
"270";"2016";"477536570";"Центральный административный округ";"Басманный район";"город Москва, улица Казакова, дом 15";"17.7";"умеренно-опасная";"средний";"{type=Point, coordinates=[37.6637646, 55.76282644]}";
"271";"2016";"477536684";"Центральный административный округ";"Басманный район";"город Москва, Большая Почтовая улица, дом 26В, строение 1";"3.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.69861552, 55.77847362]}";
"272";"2016";"477536748";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 43, строение 2";"22.8";"умеренно-опасная";"средний";"{type=Point, coordinates=[37.68002876, 55.77058018]}";
"273";"2016";"477536855";"Центральный административный округ";"район Замоскворечье";"город Москва, Овчинниковская набережная, дом 8А";"21.2";"умеренно-опасная";"средний";"{type=Point, coordinates=[37.62937099, 55.74552106]}";
"274";"2016";"477537068";"Центральный административный округ";"район Замоскворечье";"город Москва, Космодамианская набережная, дом 38, строение 2";"8.6";"допустимая";"слабый";"{type=Point, coordinates=[37.64431935, 55.73828233]}";
"275";"2016";"477537138";"Центральный административный округ";"район Замоскворечье";"город Москва, Новокузнецкая улица, дом 28, строение 1";"21.8";"умеренно-опасная";"средний";"{type=Point, coordinates=[37.63306719, 55.73462723]}";
"276";"2016";"477537203";"Центральный административный округ";"Красносельский район";"город Москва, Пантелеевская улица, дом 24";"4.6";"допустимая";"минимальный";"{type=Point, coordinates=[37.64372942, 55.78349825]}";
"277";"2016";"477537294";"Центральный административный округ";"Красносельский район";"город Москва, Сретенский бульвар, дом 3";"12.7";"допустимая";"слабый";"{type=Point, coordinates=[37.63277992, 55.76690814]}";
"278";"2016";"477537491";"Центральный административный округ";"Красносельский район";"город Москва, Каланчёвская улица, дом 2/1, строение 1";"10.6";"допустимая";"слабый";"{type=Point, coordinates=[37.65200982, 55.77025695]}";
"279";"2016";"477537598";"Центральный административный округ";"Мещанский район";"город Москва, Малый Кисельный переулок, дом 6, строение 1";"16.8";"умеренно-опасная";"средний";"{type=Point, coordinates=[37.62695444, 55.76569396]}";
"280";"2016";"477537726";"Центральный административный округ";"Мещанский район";"город Москва, улица Сущёвский Вал, дом 56, строение 1";"8.2";"допустимая";"слабый";"{type=Point, coordinates=[37.62166531, 55.79196146]}";
"281";"2016";"477537878";"Центральный административный округ";"Мещанский район";"город Москва, улица Советской Армии, дом 12, строение 1";"5.8";"допустимая";"минимальный";"{type=Point, coordinates=[37.61843554, 55.79137146]}";
"282";"2016";"477537999";"Центральный административный округ";"Пресненский район";"город Москва, Краснопресненская набережная, дом 3";"4.2";"допустимая";"минимальный";"{type=Point, coordinates=[37.55204678, 55.75123615]}";
"283";"2016";"477538097";"Центральный административный округ";"Пресненский район";"город Москва, улица Анатолия Живова, дом 4";"5.4";"допустимая";"минимальный";"{type=Point, coordinates=[37.55381524, 55.76019308]}";
"284";"2016";"477539270";"Центральный административный округ";"Таганский район";"город Москва, Яузский бульвар, дом 3, строение 1";"10.3";"допустимая";"слабый";"{type=Point, coordinates=[37.64772252, 55.75252583]}";
"285";"2016";"477539456";"Центральный административный округ";"Таганский район";"город Москва, Николоямская улица, дом 15, строение 2";"2.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.65308425, 55.74807134]}";
"286";"2016";"477539577";"Центральный административный округ";"Тверской район";"город Москва, улица Малая Дмитровка, дом 23/15, строение 2";"6.3";"допустимая";"минимальный";"{type=Point, coordinates=[37.60431179, 55.77045426]}";
"287";"2016";"477539651";"Центральный административный округ";"Тверской район";"город Москва, Садовая-Триумфальная улица, дом 4-10";"6.6";"допустимая";"минимальный";"{type=Point, coordinates=[37.59918135, 55.770409]}";
"288";"2016";"477539769";"Центральный административный округ";"район Хамовники";"город Москва, улица Лужники, дом 24, строение 9";"4.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.55605141, 55.71924157]}";
"289";"2016";"477540051";"Центральный административный округ";"район Хамовники";"город Москва, Фрунзенская набережная, дом 32";"6.8";"допустимая";"минимальный";"{type=Point, coordinates=[37.58691653, 55.72353412]}";
"290";"2016";"477540179";"Центральный административный округ";"район Якиманка";"город Москва, улица Крымский Вал, дом 10";"14.1";"допустимая";"слабый";"{type=Point, coordinates=[37.6057683, 55.73501678]}";
"291";"2016";"477540318";"Центральный административный округ";"район Якиманка";"город Москва, 1-й Спасоналивковский переулок, дом 17, корпус 1";"7.8";"допустимая";"минимальный";"{type=Point, coordinates=[37.61612164, 55.73265442]}";
"292";"2016";"477540446";"Северный административный округ";"район Аэропорт";"город Москва, Ленинградский проспект, дом 66";"1.8";"допустимая";"минимальный";"{type=Point, coordinates=[37.52591092, 55.80276415]}";
"293";"2016";"477540555";"Северный административный округ";"район Аэропорт";"город Москва, Петровско-Разумовская аллея, дом 22";"4.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.55639842, 55.79723736]}";
"294";"2016";"477540629";"Северный административный округ";"район Аэропорт";"город Москва, Планетная улица, дом 49";"10.8";"допустимая";"слабый";"{type=Point, coordinates=[37.53849476, 55.80599006]}";
"295";"2016";"477540691";"Северный административный округ";"район Беговой";"город Москва, Скаковая улица, дом 14";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.56710286, 55.78175447]}";
"296";"2016";"477540906";"Северный административный округ";"Бескудниковский район";"город Москва, Коровинское шоссе, дом 8, корпус 1";"2.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.53795114, 55.86994142]}";
"297";"2016";"477540992";"Северный административный округ";"Войковский район";"город Москва, улица Космонавта Волкова, дом 3";"10.2";"допустимая";"слабый";"{type=Point, coordinates=[37.50586057, 55.81581902]}";
"298";"2016";"477541094";"Северный административный округ";"район Восточное Дегунино";"город Москва, Дубнинская улица, дом 16, корпус 6";"13.2";"допустимая";"слабый";"{type=Point, coordinates=[37.56970809, 55.8687857]}";
"299";"2016";"477541192";"Северный административный округ";"Дмитровский район";"город Москва, Карельский бульвар, дом 14/16";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.53737175, 55.8940459]}";
"300";"2016";"477541678";"Северный административный округ";"район Западное Дегунино";"город Москва, Ильменский проезд, дом 17, строение 1";"26.1";"умеренно-опасная";"средний";"{type=Point, coordinates=[37.53939294, 55.86119182]}";
"301";"2016";"477542379";"Северный административный округ";"район Коптево";"город Москва, Большая Академическая улица, дом 77, корпус 1";"7.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.55568154, 55.84351658]}";
"302";"2016";"477542624";"Северный административный округ";"район Левобережный";"город Москва, Флотская улица, дом 5, корпус Б";"4.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.49107966, 55.85130191]}";
"303";"2016";"477542666";"Северный административный округ";"Молжаниновский район";"город Москва, Ленинградское шоссе, дом 170";"1.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.39167199, 55.92252435]}";
"304";"2016";"477542695";"Северный административный округ";"Молжаниновский район";"город Москва, Мелькисаровская улица, дом 2";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.41047599, 55.9481096]}";
"305";"2016";"477542732";"Северный административный округ";"Молжаниновский район";"город Москва, Молжаниновская улица, дом 15";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.36642171, 55.93512768]}";
"306";"2016";"477542768";"Северный административный округ";"Савёловский район";"город Москва, Писцовая улица, дом 13";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.57084932, 55.79711465]}";
"307";"2016";"477543024";"Северный административный округ";"район Сокол";"город Москва, Волоколамское шоссе, дом 1, корпус А";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.50371054, 55.8059671]}";
