|cell_zid|geometry|adm_zid|adm_name|okrug_name|sub_ter|okrug_id|area|customers_cnt_home|customers_cnt_job|customers_cnt_day|customers_cnt_move|served|blocked|predicted
0|32909|POLYGON ((37.03351220866129 55.14028664630593, 37.0334598138994 55.14477840355769, 37.04130213212256 55.1448081649028, 37.04135364622309 55.14031640325421, 37.03351220866129 55.14028664630593))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|4|0|0|0|0|0|0.07756232686980602
1|32910|POLYGON ((37.04135364622309 55.14031640325421, 37.04130213212256 55.1448081649028, 37.049144464726 55.14483742229309, 37.04919509816609 55.14034565578316, 37.04135364622309 55.14031640325421))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|25|8|26|0|0|0|0.10249307479224372
2|33261|POLYGON ((37.02561751031512 55.14474813716325, 37.02556422002536 55.14923988602019, 37.03340740451146 55.14927015689643, 37.0334598138994 55.14477840355769, 37.02561751031512 55.14474813716325))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|2|0|2|0|0|0|0.0
3|33262|POLYGON ((37.0334598138994 55.14477840355769, 37.03340740451146 55.14927015689643, 37.04125060362923 55.14929992373601, 37.04130213212256 55.1448081649028, 37.0334598138994 55.14477840355769))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|13|2|11|0|0|0|0.10249307479224372
4|33263|POLYGON ((37.04130213212256 55.1448081649028, 37.04125060362923 55.14929992373601, 37.04909381713915 55.14932918598868, 37.049144464726 55.14483742229309, 37.04130213212256 55.1448081649028))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|10|0|3|0|0|0|0.18836565096952915
5|33264|POLYGON ((37.049144464726 55.14483742229309, 37.04909381713915 55.14932918598868, 37.05693704479521 55.1493579436524, 37.0569868114702 55.14486617517827, 37.049144464726 55.14483742229309))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|17|2|14|0|0|0|0.10249307479224372
6|33265|POLYGON ((37.0569868114702 55.14486617517827, 37.05693704479521 55.1493579436524, 37.06478028635139 55.14938619672522, 37.06482917210922 55.14489442355639, 37.0569868114702 55.14486617517827))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|15|3|10|0|0|0|0.10249307479224372
7|33614|POLYGON ((37.02556422002536 55.14923988602019, 37.02551091485807 55.1537316309632, 37.03335498047911 55.15376190741886, 37.03340740451146 55.14927015689643, 37.02556422002536 55.14923988602019))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|18|6|17|0|0|0|0.10249307479224372
8|33615|POLYGON ((37.03340740451146 55.14927015689643, 37.03335498047911 55.15376190741886, 37.04119906074389 55.15379167920577, 37.04125060362923 55.14929992373601, 37.03340740451146 55.14927015689643))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|9|3|6|0|0|0|0.12742382271468142
9|33616|POLYGON ((37.04125060362923 55.14929992373601, 37.04119906074389 55.15379167920577, 37.04904315540631 55.15382094632188, 37.04909381713915 55.14932918598868, 37.04125060362923 55.14929992373601))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|8|0|4|1|0|0|0.5540166204986151
10|33617|POLYGON ((37.04909381713915 55.14932918598868, 37.04904315540631 55.15382094632188, 37.05688726230544 55.15384970875826, 37.05693704479521 55.1493579436524, 37.04909381713915 55.14932918598868))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|9|0|5|1|0|0|0.5540166204986151
11|33618|POLYGON ((37.05693704479521 55.1493579436524, 37.05688726230544 55.15384970875826, 37.06473138503674 55.15387796543047, 37.06478028635139 55.14938619672522, 37.05693704479521 55.1493579436524))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|8|3|9|0|0|0|0.11634349030470911
12|33619|POLYGON ((37.06478028635139 55.14938619672522, 37.06473138503674 55.15387796543047, 37.07257552141516 55.15390571852252, 37.07262354156165 55.14941394520525, 37.06478028635139 55.14938619672522))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|5|0|0|1|0|0|0.5540166204986151
13|33620|POLYGON ((37.07262354156165 55.14941394520525, 37.07257552141516 55.15390571852252, 37.08041967120675 55.15393296693599, 37.08046681019148 55.14944118799407, 37.07262354156165 55.14941394520525))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|16|3|7|0|0|0|0.10249307479224372
14|33621|POLYGON ((37.08046681019148 55.14944118799407, 37.08041967120675 55.15393296693599, 37.0882638341654 55.15395971066902, 37.08831009005705 55.14946792727633, 37.08046681019148 55.14944118799407))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|15|4|11|1|0|0|0.8033240997229918
15|33622|POLYGON ((37.08831009005705 55.14946792727633, 37.0882638341654 55.15395971066902, 37.09610801005052 55.15398594917155, 37.09615338475322 55.1494941619668, 37.08831009005705 55.14946792727633))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|20|4|12|1|0|0|0.9806094182825484
16|33623|POLYGON ((37.09615338475322 55.1494941619668, 37.09610801005052 55.15398594917155, 37.1039521986048 55.15401168353828, 37.10399669211935 55.14951989205706, 37.09615338475322 55.1494941619668))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|14|4|15|0|0|0|0.10249307479224372
17|33624|POLYGON ((37.10399669211935 55.14951989205706, 37.1039521986048 55.15401168353828, 37.11179639958774 55.1540369132192, 37.11184001190944 55.14954511754541, 37.10399669211935 55.14951989205706))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|7|3|10|0|0|0|0.10803324099722988
18|33965|POLYGON ((37.01766686411366 55.15370085093731, 37.01761266268154 55.15819258685039, 37.0254575947946 55.15822337308892, 37.02551091485807 55.1537316309632, 37.01766686411366 55.15370085093731))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|11|0|8|0|0|0|0.09418282548476449
19|33966|POLYGON ((37.02551091485807 55.1537316309632, 37.0254575947946 55.15822337308892, 37.03330253988819 55.15825365456956, 37.03335498047911 55.15376190741886, 37.02551091485807 55.1537316309632))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|37|6|23|1|0|0|1.0
20|33967|POLYGON ((37.03335498047911 55.15376190741886, 37.03330253988819 55.15825365456956, 37.04114750154608 55.15828343130504, 37.04119906074389 55.15379167920577, 37.03335498047911 55.15376190741886))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|10|6|9|0|0|0|0.11080332409972296
